[ 2024-08-31 09:44:47,966 ] 225 werkzeug - WARNING -  * Debugger is active!
[ 2024-08-31 09:44:48,078 ] 225 werkzeug - INFO -  * Debugger PIN: 123-911-547
[ 2024-08-31 09:45:09,447 ] 225 werkzeug - WARNING -  * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
[ 2024-08-31 09:45:09,448 ] 225 werkzeug - INFO -  * Running on http://192.168.1.8:8000/ (Press CTRL+C to quit)
[ 2024-08-31 09:45:13,991 ] 225 werkzeug - INFO - 127.0.0.1 - - [31/Aug/2024 09:45:13] "GET / HTTP/1.1" 200 -
[ 2024-08-31 09:45:14,230 ] 225 werkzeug - INFO - 127.0.0.1 - - [31/Aug/2024 09:45:14] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[ 2024-08-31 09:45:34,615 ] 69 root - INFO - Entered initiate_data_ingestion method of Data_Ingestion class
[ 2024-08-31 09:45:34,615 ] 39 root - INFO - Exporting data from mongodb
[ 2024-08-31 09:45:34,617 ] 46 root - INFO - Saving exported data into feature store file path: artifacts\08_31_2024_09_44_43\data_ingestion
[ 2024-08-31 09:45:56,194 ] 225 werkzeug - INFO - 127.0.0.1 - - [31/Aug/2024 09:45:56] "[35m[1mGET /train HTTP/1.1[0m" 500 -
[ 2024-08-31 09:45:56,477 ] 225 werkzeug - INFO - 127.0.0.1 - - [31/Aug/2024 09:45:56] "GET /train?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[ 2024-08-31 09:45:56,493 ] 225 werkzeug - INFO - 127.0.0.1 - - [31/Aug/2024 09:45:56] "GET /train?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[ 2024-08-31 09:45:56,559 ] 225 werkzeug - INFO - 127.0.0.1 - - [31/Aug/2024 09:45:56] "GET /train?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[ 2024-08-31 09:45:56,625 ] 225 werkzeug - INFO - 127.0.0.1 - - [31/Aug/2024 09:45:56] "GET /train?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
